ride_id,rideable_type,started_at,ended_at,ride_length,day_of_week,start_station_name,end_station_name,member_casual
21744755,classic_bike,2019-01-02 7:25:17,2019-01-02 7:40:19,0:15:02,4,Peoria St & Jackson Blvd,St. Clair St & Erie St,NA
21744756,classic_bike,2019-01-02 7:25:19,2019-01-02 7:40:40,0:15:21,4,Larrabee St & Oak St,Franklin St & Monroe St,NA
21744757,classic_bike,2019-01-02 7:25:26,2019-01-02 7:32:36,0:07:10,4,Streeter Dr & Grand Ave,Rush St & Hubbard St,NA
21744758,classic_bike,2019-01-02 7:25:26,2019-01-02 7:35:07,0:09:41,4,Ogden Ave & Race Ave,Clinton St & Washington Blvd,NA
21744759,classic_bike,2019-01-02 7:25:28,2019-01-02 7:34:04,0:08:36,4,Clinton St & Tilden St,Aberdeen St & Randolph St,NA
21744760,classic_bike,2019-01-02 7:26:03,2019-01-02 7:34:24,0:08:21,4,Michigan Ave & 14th St,Dearborn St & Monroe St,NA
21744761,classic_bike,2019-01-02 7:26:06,2019-01-02 7:30:03,0:03:57,4,Broadway & Barry Ave,Wilton Ave & Belmont Ave,NA
21744762,classic_bike,2019-01-02 7:26:09,2019-01-02 7:32:36,0:06:27,4,Clinton St & Roosevelt Rd,Wabash Ave & 9th St,NA
21744763,classic_bike,2019-01-02 7:26:20,2019-01-02 7:29:20,0:03:00,4,Claremont Ave & Hirsch St,Damen Ave & Pierce Ave,NA
21744764,classic_bike,2019-01-02 7:26:23,2019-01-02 7:33:18,0:06:55,4,Desplaines St & Kinzie St,Michigan Ave & Lake St,NA
21744765,classic_bike,2019-01-02 7:26:40,2019-01-02 7:43:38,0:16:58,4,Orleans St & Elm St (*),Michigan Ave & Lake St,NA
21744766,classic_bike,2019-01-02 7:26:38,2019-01-02 7:48:10,0:21:32,4,Sheffield Ave & Waveland Ave,Wood St & Milwaukee Ave,NA
21744767,classic_bike,2019-01-02 7:26:45,2019-01-02 7:35:19,0:08:34,4,Michigan Ave & Ida B Wells Dr,Canal St & Adams St,NA
21744768,classic_bike,2019-01-02 7:26:52,2019-01-02 7:36:38,0:09:46,4,Sheffield Ave & Waveland Ave,Sheffield Ave & Fullerton Ave,NA
21744769,classic_bike,2019-01-02 7:26:55,2019-01-02 7:35:17,0:08:22,4,Clinton St & Washington Blvd,State St & Randolph St,NA
